Rank,Team,Strength,GamesPlayed,TotalMargin,Wins,Losses,Draws,Byes
1,Tcookies,6.39119,3,10,3,0,0,0
2,Morri,5.23599,3,12,2,1,0,0
3,Htron,4.88555,3,5,2,1,0,0
4,GG,4.44058,3,10,2,1,0,0
5,T_Thunder,3.89534,3,14,3,0,0,0
6,Axiom,3.23611,3,-1,1,2,0,0
7,Mount,2.90839,3,11,2,1,0,0
8,Ethos,2.07281,3,10,3,0,0,0
9,AUUC,1.32073,3,4,2,1,0,0
10,MUA,0.70147,3,-2,1,2,0,0
11,Whakatu,0.65023,3,0,1,2,0,0
12,Euphoria,-0.12345,3,-7,0,3,0,0
13,Radiance,-4.35959,3,-11,1,2,0,0
14,Gen3,-4.79991,3,-12,1,2,0,0
15,Wow,-4.85304,3,-3,1,2,0,0
16,Luminance,-5.59161,3,-6,2,1,0,0
17,Patch,-7.84977,3,-17,0,3,0,0
18,Duck,-8.16104,3,-17,0,3,0,0
